,train_silhouette_score,train_calinski_harabasz_score,train_davies_bouldin_score,test_silhouette_score,test_calinski_harabasz_score,test_davies_bouldin_score,train_time,inference_time
kmeans,0.2499606272418124,1755.242760831224,2.3841182052175243,0.22976220274699613,643.0135531241624,2.5927897463746192,3.994595527648926,0.07018351554870605
agglomerative,0.1164424307353601,1762.6765173299245,2.477407854563463,0.13704941328282094,692.7626328849435,2.3081624062953052,7.764119625091553,0.07101106643676758
minibatch_kmeans,0.10750277701844428,1846.844259956116,2.6551408807910506,0.09669322211841745,679.8487141733565,2.6448887242134598,0.08062243461608887,0.007007122039794922
